Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
main_Isocortex_ORB6b,181,204.5,184.5,194.5,204,124,213,191,182,148,205.5,203,157.5,186,171.75,133
main_Isocortex_PTLp1,386,,,,391,389,388,379.5,359,288.5,,359,307,315,311,291
main_Isocortex_PTLp2-3,362,297,286,291.5,392,258,350,332,294,195,308,253.5,153,226.5,189.75,167
main_Isocortex_PTLp4,350.5,314.5,304,309.25,375,255,326,316,264,173,280,258,178,229.5,203.75,139
main_Isocortex_PTLp5,302,267,261,264,341,261,294,285,288,203.5,277.5,257,151.5,237,194.25,149.5
main_Isocortex_PTLp6a,310,286,275,280.5,335,250,298.5,289,247,189,253,240,181,236.5,208.75,144.5
main_Isocortex_PTLp6b,262.5,232,225.5,228.75,270,199,232,238,229,158,193,197.5,145.5,204,174.75,144
main_Isocortex_RSPd1,336,,,,378,301.5,279,398,344,288,219.5,318,252,298.5,275.25,257.5
main_Isocortex_RSPd2-3,311,,,,380,234,302.5,371,263.5,241,241,241,163,233,198,182.5
main_Isocortex_RSPd5,285.5,,,,340,,,294,241,187,268,240,124,188,156,165
main_Isocortex_RSPd6a,302.5,,,,313,,,267,225.5,201.5,288,199,267,180.5,223.75,149.5
main_Isocortex_RSPv1,287,277.5,233,255.25,293,233,238,248,264,194,217,217,200,240,220,213
main_Isocortex_RSPv2-3,254,225.5,194,209.75,231,191,221,211,194,168,199,192.5,121.5,195.5,158.5,129
main_Isocortex_RSPv5,288,270,220,245,227,184.5,256,231,147,128,159.5,236,128,229,178.5,141
main_Isocortex_RSPv6a,260,258.5,231,244.75,230,168.5,230,230,210,154.5,177,210.5,123.5,198,160.75,148
main_Isocortex_SS1,386,,305.5,305.5,379,356,371.5,355,361,290,316,313.5,316,326,321,240.5
main_Isocortex_SS2-3,346,299,288,293.5,361,293,340,328,281,187,272,227,159.5,235,197.25,162
main_Isocortex_SS4,331,301.5,281.5,291.5,329,264,303,288,246,172.5,257,220,150.5,224,187.25,141
main_Isocortex_SS5,305,283.5,264,273.75,307,237,278.5,279,254,186,253,235,137,218,177.5,146
main_Isocortex_SS6a,317.5,272,244,258,296,238,276,270,233,175,238.5,231,147,229,188,148
main_Isocortex_SS6b,253,234,217.5,225.75,238,212,213,212,202,152.5,213,188,178.5,189,183.75,138.5
main_Isocortex_VIS1,376,,,,394,378,383,371,354,317,338,325,280,302,291,278
main_Isocortex_VIS2-3,357,309,246,277.5,380,352.5,363,343,279,234,306,248,180,228,204,179
main_Isocortex_VIS4,345,315,259,287,350,296,337,296,247,210.5,260,218,135,247,191,167
main_Isocortex_VIS5,332,284,259,271.5,329,256,307,311,282,221.5,276,244,147,214,180.5,182
main_Isocortex_VIS6a,320,285,275,280,336,255,308,293,270,216,264,239,169,219,194,174
main_Isocortex_VIS6b,233,225,226,225.5,263,161,243,225,229,187.5,220,193.5,164,189,176.5,151
main_Medulla_CU,,,105,105,100,,82,89.5,67,84,,72,59,89,74,64
main_Medulla_IRN,71,56,46,51,70,37,47,45,73,47,,65,52,,52,56
main_Medulla_LI,,125,117.5,121.25,153.5,,78.5,107.5,123.5,,,109.5,72,,72,
main_Medulla_LRN,,,,,91,,77,87,92,107,116,69,69,,69,70.5
main_Medulla_MDRN,54,,,,72,,63,70,74,68,,63,65,,65,67
main_Medulla_MV,79,34,29,31.5,36,41,46,53,30,57,56,42,16,47,31.5,27
main_Medulla_MX,,,,,99,,63,89.5,94,,,85,78,92,85,72
main_Medulla_PARN,,61,57,59,73,51,62,55,67,57,46,75,62,,62,55
main_Medulla_PGRNI,47,59,,59,70,,54,54,76,61,37,62,61,,61,63
main_Medulla_SPIV,101,49,45,47,51,56,60,68,63.5,68,,46,40,66,53,43
main_Medulla_SPVC,93,,,,120.5,,,107,98,79,85,100,92,125,108.5,
main_Medulla_SUV,,60,57,58.5,44.5,39,51,44,61.5,71,,66,44,71,57.5,46
main_Medulla_VII,,66,67,66.5,105,,91,78,96,71,46,89,68,,68,78
main_Midbrain_APN,84,87,68,77.5,92,45,75,91,82,68,93.5,79,42,76,59,50
main_Midbrain_CUN,,107.5,95,101.25,101.5,95,112,119,105.5,109,,96,73,96,84.5,76
main_Midbrain_IC,145,112,97,104.5,86,84,104,100,102,100,82,84,68,98,83,68
main_Midbrain_MEV,99,,,,56,55,83,75.5,,83,,88,,70.5,70.5,
main_Midbrain_MRN,51,59,52,55.5,60,39,54,72,65,64,61,55,28,59,43.5,41
main_Midbrain_NOT,110,140.5,117,128.75,105,70,92,111.5,93.5,95,86,86,51.5,102,76.75,80
main_Midbrain_PPN,,63,63.5,63.25,87,44,55,92,71.5,63,,63,41,66,53.5,50
main_Midbrain_PPT,88,118,78,98,94,51,104,88.5,91,71,80,71,33,83,58,64
main_Midbrain_RN,53,,,,,47,58,107.5,,64,,,,82,82,
main_Midbrain_RR,66,84,69.5,76.75,93,61,68,96,88,83,89,68,40,69,54.5,52
main_Midbrain_SCm,88,100.5,77,88.75,74,55,83,90,86,72,83,78,37,75,56,57
main_Midbrain_SCs,174,162,148.5,155.25,104,140,158,176,108,139,,92,104,141,122.5,115
main_Midbrain_SNc,,94,70,82,93,80,73,86,99,99,75,86,65,86,75.5,75
main_Midbrain_SNr,112,87,80,83.5,87,72,78.5,76,82,72,78,85,65,74,69.5,71
main_OlfactoryAreas_AON1,369,406,378,392,378,318,371,362,398,397,393,379,321,366,343.5,346
main_OlfactoryAreas_AON2,349.5,395,338,366.5,377,339,360,372,391,374,374,388,297,384,340.5,296
main_OlfactoryAreas_MOBgl,218,230,219,224.5,228,155,212.5,213,230,233,193,214,173,,173,211
main_OlfactoryAreas_MOBgr,203,213,206,209.5,189,150,186,179,213,202,189,185,165,,165,159
main_OlfactoryAreas_MOBipl,209,256,226,241,256,188,221,241,252,258,250,235.5,194,,194,203
main_OlfactoryAreas_MOBmi,181,207,184,195.5,212,141,192,210,211,216,194,205,144,,144,126
main_OlfactoryAreas_MOBopl,259,279,269,274,304,215,288,286,276,295,283,290,207,,207,221
main_OlfactoryAreas_PIR1,404,351,391,371,385,391,370,406,319.5,350,330,326,278,333,305.5,289
main_OlfactoryAreas_PIR2,326.5,332,342,337,370,339,345,380,304,307,259,286.5,214,296.5,255.25,251
main_Pallidum_BST,152,121.5,123,122.25,158,116,155,193,111,108,,,,,,97
main_Pallidum_GPi,,,122,122,,190,234.5,225.5,85,70,87,74,56,79.5,67.75,53
main_Pallidum_NDB,131,148,129,138.5,144,123.5,134,128,133,137,,156,132,144,138,106
main_Pallidum_SI,130,112.5,104,108.25,132,109,109,126,93,100,103,98,87,91,89,83
main_Pons_PB,88,100,88,94,93,83,100,115,114,105,129.5,118.5,68,106,87,77
main_Pons_PG,128,,149,149,171,,131,122,96,154,,149,,,,130
main_Pons_PRNc,24,51,49,50,58,32,47,45,64,51,37.5,55,34,61,47.5,47
main_Pons_PRNr,41,39,40,39.5,55,38,50,56,59,57,64,53,21,57,39,32
main_Pons_SOC,27,37,36,36.5,36,,30,31,45,42,19.5,40,29,54,41.5,34
main_Pons_V,,50,53,51.5,62,41,54,62,64,,41,66,39,65,52,45
main_Striatum_ACBc,309,327,300,313.5,313,256,286,317.5,222,215,254,246,162,272.5,217.25,136
main_Striatum_ACBsh,313.5,368,328,348,328,320,317,343,309,301,261,274,188,304,246,192
main_Striatum_CP,296,301,285,293,328,225,286,319,213,201,248,258.5,156,242,199,156
main_Striatum_FS,249,251,213,232,220,156,181,187,180,182,199,199,213,274,243.5,133
main_Striatum_isl,269,274,199,236.5,258,225,297.5,258,262.5,307,274.5,281,195.5,265.5,230.5,203
main_Striatum_OT1,358.5,373,332,352.5,343,348,346,336.5,340,342,299.5,322.5,295.5,310,302.75,313
main_Striatum_OT2,323,347,316,331.5,304,309,309,307,280,303,188.5,306,194.5,278,236.25,179
main_Striatum_OT3,328.5,365,333,349,318,327,330,342,319,328,266,323,271,311,291,279
main_Thalamus_LD,328,328,315,321.5,330,315,286,307.5,307,283,305,312,284,287,285.5,253
main_Thalamus_LP,325,304,274,289,337,253,277,299,289,279,297,284,201,234,217.5,242
main_Thalamus_PO,363,393,371,382,371,373,362.5,393,383,346,312,345,316,330,323,310
main_Thalamus_RT,120,101,94,97.5,132,68,104,142,96,90,94.5,113,60,93.5,76.75,64
main_Thalamus_SPFp,115,120,100,110,116,78,129,149,100.5,86,74,98,62,102,82,68
main_Thalamus_VPL,,275,266,270.5,286.5,232,238,299,257,234,289,263,212,226,219,205.5
main_Thalamus_VPM,365.5,342,321,331.5,341,322,309,355,326,324,281,292,283,288,285.5,275
