Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
main_FibreTracts_cpd,0,3,0,1.5,0,0,1,0,4,1,1,2,2,2,2,1
main_FibreTracts_fi,2,1,1,1,1,0,0,1,2,1,1,2,0,1,0.5,1
main_FibreTracts_int,,8,6,7,6,1,10,14,11,10,3,7,2,5,3.5,5
main_FibreTracts_lot,,12,12.5,12.25,16,10,23.5,25,11,48,4,6,4,8,6,10
main_FibreTracts_mcp,1,0,0,0,0,,0,1,1,5,0,1,0,1,0.5,0
main_FibreTracts_ml,14,6,11,8.5,11,12,10.5,18,8.5,11,14,11,8,11,9.5,9
main_FibreTracts_opt,,0,0,0,0,0,0,0,1,1,0,0,0,1,0.5,1
main_FibreTracts_scp,,9,17.5,13.25,8,19,16.5,14,17,,8,8,9,10,9.5,9
main_FibreTracts_sctv,,2,6.5,4.25,3,5,2,5,23.5,4,2,4,3,3,3,2
main_FibreTracts_sptV,,,,,2,,0,3,3,3,4,2,2,2,2,2
main_FibreTracts_st,,6,7,6.5,5,15,10,12,4,,3,6,3.5,3,3.25,5
main_FibreTracts_tb,0,4,,4,10,,1,10,3.5,5,1,5,1,1,1,4
main_FibreTracts_vlln,0,1,0,0.5,1,0,0,1,1,1,8,1,1,0,0.5,1
main_Hippocampus_CA1slm,398,400,389,394.5,392,389,378,375.5,405,385,362,383,342,351,346.5,336
main_Hippocampus_CA1so,458,466,441,453.5,456,462,459,450,469,443,447,473,439,441,440,423
main_Hippocampus_CA1sp,143.5,165.5,134.5,150,161.5,135.5,162,165,138,175.5,178,141,119,153,136,117
main_Hippocampus_CA1sr,446,454,427,440.5,442,450,439,434,450,429,424,445.5,416,429,422.5,408
main_Hippocampus_CA2slm,430,425,438,431.5,401,411.5,418.5,426,428,388,402,408,380,402,391,378
main_Hippocampus_CA2so,418.5,386,362,374,314,398,341.5,396,399,399.5,355.5,418,364,391.5,377.75,319
main_Hippocampus_CA2sp,41,50,43,46.5,43.5,27,26.5,70,57,40,70,70,41,55.5,48.25,40.5
main_Hippocampus_CA2sr,389,358,378,368,367,389,360,383,362,340,351,374,332,340,336,310
main_Hippocampus_CA3slm,385,359,374,366.5,369,378,338,388.5,358.5,355,376.5,366.5,350,338,344,305
main_Hippocampus_CA3slu,207.5,205,196,200.5,202,193.5,185,204,215,189,195,216,201,197.5,199.25,139
main_Hippocampus_CA3so,236,219,241,230,274,226.5,227.5,275.5,241,262,265,291,187,214.5,200.75,189
main_Hippocampus_CA3sp,116,95,94,94.5,96,94,117,117,113,81,104,103,91,103,97,69
main_Hippocampus_CA3sr,345.5,341,319,330,351,337,327,360,335,324.5,324,355,295,308,301.5,274
main_Hippocampus_DGgrInf,81,73,66.5,69.75,75,58,78,100.5,88,74,98,109.5,47,73,60,42.5
main_Hippocampus_DGgrSup,91,69,67.5,68.25,63,49,75,106,91.5,87,89.5,106,51,79,65,56
main_Hippocampus_DGmoInf,426,415.5,394,404.75,428,424,413,428,445,411,417,411,399,399,399,403
main_Hippocampus_DGmoSup,437,417,389.5,403.25,428,409,406,424,445,398,412,420,398.5,404,401.25,399
main_Hippocampus_DGpo,163,142,149,145.5,168,150,164,180.5,178,164,183,177,117,135,126,110
main_Hippocampus_SUB,279.5,297,276,286.5,290,301,286,257,313,290,279,299,235.5,246,240.75,249
main_Hypothalamus_LHA,62,74,66,70,75,64,65,72,82,80,96,77,47,44,45.5,52
main_Hypothalamus_LPO,59,81,63,72,58,50,59,76,79,74,,84,53,54,53.5,47
main_Hypothalamus_PSTN,,84,80.5,82.25,93,61,45,74,119,93.5,,,,,,88
main_Hypothalamus_ZI,51,47,46,46.5,56,46,48,66,61,60,44,55,36,36,36,34
main_Isocortex_FRP1,343,354,334,344,347.5,313,330,308,345,356,312,297,299,318,308.5,285
main_Isocortex_FRP2-3,344,352,351,351.5,328,329,323.5,334,342,338,306.5,294,296.5,304,300.25,319.5
main_Isocortex_MO1,371,370,345,357.5,351,380,353,346,374,352,334,,362.5,377,369.75,323.5
main_Isocortex_MO2-3,370,351,341,346,344,362,345,347,351,346,321,318,346.5,344,345.25,301
main_Isocortex_MO5,362,321,311,316,314,320,335,318,334,316,313,292,315,331,323,266
main_Isocortex_MO6a,313,277,272,274.5,255,251,277,277,291,257,268,263,261,272,266.5,205
main_Isocortex_MO6b,161,152,192.5,172.25,165,124,163.5,152,186,151,154,180.5,129,188,158.5,127
main_Isocortex_ORB1,364,364,357,360.5,342,349,341,322,356,356,332,303,313,307,310,324
main_Isocortex_ORB2-3,367,367,357,362,334,354.5,349,345,352,344,337,315,317.5,315,316.25,323
main_Isocortex_ORB5,353,340,346,343,313,312,326,334.5,323,266,327,318,312,310,311,286
main_Isocortex_ORB6a,307,289,292,290.5,253,252,279,290,280.5,316,283,281,247,256,251.5,215
main_Isocortex_ORB6b,128.5,160.5,153.5,157,115,72,162.5,151,163,150,181,179,142.5,136,139.25,123
main_Isocortex_PTLp1,415,,,,397,406,380,392.5,426,367,,383,331.5,329.5,330.5,372.5
main_Isocortex_PTLp2-3,410,356,358,357,382,387,381,369,404,372,341,372,333,319,326,358
main_Isocortex_PTLp4,402,358,365,361.5,379,380,362.5,366.5,410,373,348,363,347,329.5,338.25,361
main_Isocortex_PTLp5,366,341,355,348,346,361,337,335,395,351.5,322.5,365,338.5,316,327.25,330
main_Isocortex_PTLp6a,333.5,312.5,320,316.25,294,319,300.5,325,345.5,301,275,306,282,275,278.5,277
main_Isocortex_PTLp6b,248.5,173,213.5,193.25,203,160,177,201,288,175.5,164.5,194,164.5,203.5,184,150
main_Isocortex_RSPd1,361,,,,362,340.5,256,376,409,355,256.5,354,238,278,258,311.5
main_Isocortex_RSPd2-3,356,,,,374,366,277.5,387,382,339,287,352.5,248,286,267,322
main_Isocortex_RSPd5,385.5,,,,350,,,345,328.5,258,309,370,268.5,281,274.75,301
main_Isocortex_RSPd6a,351,,,,301.5,,,287,349,311,274,285,273,273.5,273.25,303
main_Isocortex_RSPv1,278.5,262.5,247,254.75,309,216,185,236,318,248,229.5,226,187,231,209,210
main_Isocortex_RSPv2-3,251,215.5,194,204.75,216,184,187,201,253,217,220.5,187.5,150,199.5,174.75,171
main_Isocortex_RSPv5,339,338,300,319,229.5,278.5,297,236,286,236,249.5,333,270,287,278.5,263
main_Isocortex_RSPv6a,314.5,277.5,273,275.25,188,266,240,247,268,140,177,270.5,211,225,218,239
main_Isocortex_SS1,412,,361.5,361.5,386,392,365,362,413,346,335,354,361,354,357.5,360
main_Isocortex_SS2-3,393,348,351,349.5,366,386,365,357,392,346,323,330,356,342,349,340.5
main_Isocortex_SS4,386,350,354,352,353,367,342.5,347,385,351.5,322,332,349,338,343.5,334
main_Isocortex_SS5,364,331,327,329,324,345,326,324,361,324,311,314,334,319,326.5,304
main_Isocortex_SS6a,344.5,295,272,283.5,281,310,291.5,295,317,284,261,298,273,279,276,246
main_Isocortex_SS6b,239,196,182.5,189.25,164,189,162,184,217,163,181.5,180,157.5,187.5,172.5,137
main_Isocortex_VIS1,390,,,,391,395,367,368,390,378,339.5,361,303,307,305,378
main_Isocortex_VIS2-3,377,351,340,345.5,376,399,368,366,389,354,340,357,309,305,307,364
main_Isocortex_VIS4,383,365,354,359.5,360,389,355,349.5,387.5,355,322,345,305,318,311.5,360
main_Isocortex_VIS5,370,335,334,334.5,327,363,335,345,378,338,315,341,279,289,284,339
main_Isocortex_VIS6a,334,294,272,283,310,316,297,312,348,314,293,318,231,235,233,295
main_Isocortex_VIS6b,220,196,198,197,215.5,153,200.5,196,241.5,213,217.5,224,145,166,155.5,195
main_Medulla_CU,,,51,51,41,,38,43,34,58,,47,42,51,46.5,42
main_Medulla_IRN,55,46,33,39.5,42,28,29,35,60,30,,50,44,,44,42
main_Medulla_LI,,59,42,50.5,74,,36,49,73,,,67,52,,52,
main_Medulla_LRN,,,,,28,,31,39,37.5,50,82,33,34,,34,33
main_Medulla_MDRN,34,,,,44,,38,48,49,36,,43,60,,60,43
main_Medulla_MV,46,21,16,18.5,21,30,28,32,20,33,25,26,16,21,18.5,19
main_Medulla_MX,,,,,62,,32.5,57,72,,,65,55,59,57,49
main_Medulla_PARN,,51,39,45,45,38,37,39,60,39,36,57,55,,55,40
main_Medulla_PGRNI,31,43,,43,35,,32,32,49,35,32,41,44,,44,43
main_Medulla_SPIV,55,32,24,28,27,37,31,39,45,40,,32,28,39.5,33.75,27
main_Medulla_SPVC,55,,,,67.5,,,76,58,47,60,60,81,87,84,
main_Medulla_SUV,,37,31,34,12.5,29,27,17,47,47,,50,34,42,38,32
main_Medulla_VII,,50,42,46,44,,44,41,65,43,30,49,45,,45,50
main_Midbrain_APN,59,62,50,56,54,44,51,60,72,52,90,61,42,47,44.5,38
main_Midbrain_CUN,,79,66,72.5,55,85,73.5,85,104,85,,87,68,67.5,67.75,59
main_Midbrain_IC,146,89,69,79,57,79,81,73,100,85,59,77,71,94,82.5,64
main_Midbrain_MEV,59,,,,25,45,50.5,48,,59,,83,,38,38,
main_Midbrain_MRN,37,47,40,43.5,36,41,39,51,57,48,49,45,35,36,35.5,35
main_Midbrain_NOT,63,114,81.5,97.75,60,53,51,59,70.5,62,76,76,52,61,56.5,59
main_Midbrain_PPN,,44.5,41,42.75,47,32,31,52,57.5,33,,43,35,32,33.5,34
main_Midbrain_PPT,49,69,60,64.5,56,41.5,61,49,71,46,75,56,45,63.5,54.25,41
main_Midbrain_RN,34,,,,,37,34,54.5,,43,,,,39,39,
main_Midbrain_RR,36,42,31.5,36.75,38,38,33,53,80,47,60,40,30,32,31,31
main_Midbrain_SCm,70.5,87,62,74.5,49,55,61,71,93,66,85,72,45,61,53,50
main_Midbrain_SCs,194,172,147.5,159.75,72,113,112,168,139,113,,102,86,115,100.5,113
main_Midbrain_SNc,,53,33,43,58,47,52,53.5,72,59.5,47,52,43,37,40,50
main_Midbrain_SNr,46,69,60,64.5,75,48,53,56,70,63,51,65,56,39,47.5,63
main_OlfactoryAreas_AON1,307,330,315,322.5,275,253,323,310,343,354,353,335,282,294,288,317
main_OlfactoryAreas_AON2,305,340,299,319.5,298,296,317,324,357,352.5,331.5,339,322,317,319.5,310
main_OlfactoryAreas_MOBgl,119,107,120,113.5,90,57,115,117,118,132,96,101,72,,72,91.5
main_OlfactoryAreas_MOBgr,81,86,84,85,50,41,61,59,104,95,66,65,62,,62,57
main_OlfactoryAreas_MOBipl,99,115.5,100,107.75,89,67,81,103,124,140.5,104.5,93,83,,83,86
main_OlfactoryAreas_MOBmi,71,85,66.5,75.75,60,47,63,77,99,106.5,73,79,62,,62,42
main_OlfactoryAreas_MOBopl,169,171,178,174.5,155,100,181,184,190,220,183,176,102,,102,126
main_OlfactoryAreas_PIR1,371,305,349.5,327.25,332,357,345,368.5,292,336,303,294,279,284,281.5,304
main_OlfactoryAreas_PIR2,299,273.5,317,295.25,288,291,305,335,263,285,216,247,196,223,209.5,255
main_Pallidum_BST,116,71,78,74.5,90,80,137,184,84,77,,,,,,54
main_Pallidum_GPi,,,77,77,,191,243.5,298,43,34,49,41,28,28.5,28.25,21
main_Pallidum_NDB,58,102,83.5,92.75,60,57.5,90,69,110,100,,110,117,75,96,75
main_Pallidum_SI,57,70,62,66,61,52,77,96,79,75,50,71,51,48,49.5,46
main_Pons_PB,56,70,57,63.5,54,73,64,87,108,81,123,108,62,70,66,57
main_Pons_PG,52,,81,81,81,,66,57.5,58,84,,98.5,,,,96
main_Pons_PRNc,24,43,37,40,40,32,36,37,51,37,35,44,35,32,33.5,37
main_Pons_PRNr,30,33,30,31.5,38,40,40,44,49,42,51,42,28,35,31.5,30
main_Pons_SOC,18,23,20,21.5,17,,17,19,27,19,17,23,25,23,24,21
main_Pons_V,,33,31,32,36,40,38,46,40,,26,43,33,33,33,29
main_Striatum_ACBc,269,331,304,317.5,278,255,284,300,308,299,310,316,259,279,269,234
main_Striatum_ACBsh,256,327,298,312.5,268,264,276,294,309,300,267,312,266,283,274.5,238
main_Striatum_CP,295,303,289,296,295,244,295,311,285,282,296,304,253,261,257,235
main_Striatum_FS,239,254,220,237,176,113,187,206,250.5,206,286,249,252,249,250.5,171
main_Striatum_isl,196.5,132.5,65,98.75,101,115,229,146,153,179,182.5,175,107.5,135,121.25,143
main_Striatum_OT1,286.5,305,282,293.5,216,281,308,277,275,297,198,270,234,232,233,266
main_Striatum_OT2,234,271,238,254.5,169,239,268,261,241,268,152,270,201,188,194.5,226.5
main_Striatum_OT3,258,301,270,285.5,185.5,272,289,278.5,284,298,196,277,243,217,230,245
main_Thalamus_LD,306,286,280.5,283.25,261,255,238,279.5,268,227,266,290,247,265,256,195
main_Thalamus_LP,284,258,233,245.5,285,196,229,265,261,234,268,260,171,197,184,190
main_Thalamus_PO,316,330,320.5,325.25,293,306,307,357,333,292,266,317,278,289,283.5,235
main_Thalamus_RT,64,65,58,61.5,67,53,60,86,70,57,51,76,48,44,46,45
main_Thalamus_SPFp,71.5,93,78,85.5,71.5,61.5,87,107,86,60.5,63,75,58,62,60,50
main_Thalamus_VPL,,190,188,189,195,153,158,242,199,160,234,222,151,157,154,114
main_Thalamus_VPM,351,254,243,248.5,248,215,225,309,266,253,219,247,219,220,219.5,178
